MILLOM (BAYSTONE BANK RES),,,,,,,,,,
Grid ref,SD171859,Long,-3.274194,Lat,54.262021,Elevation,320,ft,,
Station no,"""3658/4/1""",,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,9.17
February,,,,,,,,,,7.49
March,,,,,,,,,,1.71
April,,,,,,,,,,4.51
May,,,,,,,,,,4.2
June,,,,,,,,,,2.19
July,,,,,,,,,,11.15
August,,,,,,,,,,4.77
September,,,,,,,,,,6.37
October,,,,,,,,,,5.12
November,,,,,,,,,,10.11
December,,,,,,,,,,7.96
Total,,,,,,,,,,74.75
,,,,,,,,,,
CEDA 12765 BAYSTONE BANK RESR to 1983,,,,,,,,,,
