WREXHAM-GWERSYLLT-SOUTH-EAST,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ327529,Long,-3.0058657,Lat,53.069079,Elevation,283,ft.,,,,,,,,,,,,
Station no,RR1989,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,3.5,0.64,2.1,1.78,1.94,0.42,3.76,3.42,0.71,3.43,,,,
February,,,,,,,1.75,1.39,2.21,1.33,3.44,0.63,2.58,1.66,3.18,3.66,,,,
March,,,,,,,1.64,2.01,3.24,0.92,0.66,1.82,2.88,4.03,2.32,0.56,,,,
April,,,,,,2.34,0.76,0.77,1.18,2.83,2.57,0.12,0.15,3.13,0.39,1.34,,,,
May,,,,,,1.14,2.23,2.23,5.35,1.23,2.44,0.71,2.36,3.75,1.38,1.24,,,,
June,,,,,,2.08,0.83,3.73,2.55,2.8,2.6,0.73,3.44,1.22,2.17,0.5,,,,
July,,,,,,3.09,0.97,1.72,3.15,3.01,2.46,1.49,1.84,1.92,3.19,3.31,,,,
August,,,,,,3.48,2.62,2.91,2.47,1.28,0.54,0.51,5,1.74,1.42,3.57,,,,
September,,,,,,2.17,0.88,0.45,5.55,1.29,0.67,4.13,0.18,0.26,2.93,0.51,,,,
October,,,,,,1.16,5.4,6.1,1.85,5.99,2.53,4.25,2.96,3.06,1.14,1.3,,,,
November,,,,,,3.18,1.75,2.43,3,0.73,5.37,3.14,2.47,3.95,2.63,2.88,,,,
December,,,,,,1.36,3.64,2.39,1.5,5.5,6.1,5.59,3.06,1.44,5.12,5.75,,,,
Total,,,,,,,25.97,26.77,34.15,28.69,31.32,23.54,30.68,29.58,26.58,28.05,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is SE of Gwersyllt as implied by the relationships to the station and church, butthese are not entirely consistent but altitudes broadly match. NGR could be +/- 500m",,,,,,,,,,,,,,,,,,,,
