WREXHAM-GWERSYLLT-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ311532,Long,-3.029805,Lat,53.071571,Elevation,450,ft.,,,,,,,,,,,,
Station no,RR1989,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,1.94,,2.95,2.31,1.8,4.5,3.39,,,,,,,,,
February,,,,,1.51,,3,2.12,2.12,3.48,2.72,,,,,,,,,
March,,,,,3.57,,1.31,2.18,2.99,2.52,2.84,,,,,,,,,
April,,,,,2.21,,1.25,2.98,2.69,1.45,1.82,,,,,,,,,
May,,,,,3.09,,2.2,3.18,1.92,7.04,2.04,,,,,,,,,
June,,,,,2.23,,4.98,1.13,0.14,1.09,0.85,,,,,,,,,
July,,,,1.39,1.12,,1.59,4.5,1.17,1.12,0.93,,,,,,,,,
August,,,,3.4,1.69,,4.62,1.12,3.95,1.73,2.53,,,,,,,,,
September,,,,4.25,2.97,,6.82,1.83,2.2,6.09,2.12,,,,,,,,,
October,,,,5.33,2.57,,1.67,4.1,1.37,4.15,7.55,,,,,,,,,
November,,,,2.74,4.03,,4.03,0.77,2.83,4.2,3.78,,,,,,,,,
December,,,,2.37,1.32,,2.2,1.68,8.92,4.1,,,,,,,,,,
Total,,,,,28.25,,36.62,27.9,32.1,41.47,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is a building called Gwersyllt Hill. Stated altitude is vague (400?), OS figure used.",,,,,,,,,,,,,,,,,,,,
