CLOUGHTON - COBER HILL,,,,,,,,,,
Grid ref,TA010948,Long,-0.448,Lat,54.339,Elevation,250,ft,,
Station no,3468/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,1.93,1.90,1.50,2.95,4.17,,,,
February,,0.77,3.57,2.60,3.12,2.40,,,,
March,,2.49,2.10,1.55,0.72,1.07,,,,
April,,2.53,1.05,2.50,2.95,1.03,,,,
May,,9.01,2.28,1.33,1.35,1.82,,,,
June,,0.57,1.61,1.45,2.27,1.80,,,,
July,,2.96,1.21,2.58,0.42,3.13,,,,
August,1.77,2.29,0.24,2.53,0.96,2.15,,,,
September,4.39,2.71,1.58,1.57,4.06,2.62,,,,
October,2.44,3.37,4.72,2.00,4.36,2.54,,,,
November,2.61,1.78,2.26,3.16,4.10,2.51,,,,
December,1.58,1.53,1.04,4.81,1.68,2.77,,,,
Total,,31.94,23.56,27.58,28.94,28.01,,,,
,,,,,,,,,,
TYRain_1931-1940_20_pt1/047,,,,,,,,,,
