"AFON LLIW (BLAEN LLIW ISAF)",,,,,,,,,,,,
Grid ref,SH804328,Long,-3.778657,Lat,52.879327,,,,,,,
Station no,4324/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.30,12.20,4.00,8.00,5.00,9.00,13.00,12.50,7.10,13.00,,
February,9.50,4.00,6.00,7.20,3.50,2.00,10.70,10.40,3.00,8.60,,
March,11.20,6.60,6.10,9.00,5.00,5.20,10.00,1.20,4.00,4.10,,
April,6.70,5.50,7.20,2.50,5.20,3.00,1.00,3.00,9.70,4.10,,
May,3.00,3.00,5.10,6.00,6.20,2.50,5.50,7.40,2.40,4.00,,
June,2.00,6.00,5.20,6.00,8.00,3.50,3.20,6.00,3.10,6.00,,
July,3.00,3.40,9.00,10.00,1.30,8.50,12.50,9.70,6.00,6.40,,
August,9.20,4.30,10.00,8.00,2.60,12.00,12.00,7.00,2.00,7.00,,
September,11.20,6.90,5.00,14.20,4.80,9.00,9.60,10.20,1.00,6.00,,
October,2.80,10.00,4.80,22.00,6.00,5.80,10.60,10.00,10.00,6.10,,
November,11.00,6.80,15.00,15.00,4.00,5.20,5.40,2.10,13.00,17.00,,
December,18.50,8.60,4.00,12.50,11.00,12.00,8.50,7.50,15.50,12.00,,
Total,99.40,77.30,81.40,120.40,62.60,77.70,102.00,87.00,76.80,94.30,,
Calc annual,99.40,77.30,81.40,120.40,62.60,77.70,102.00,87.00,76.80,94.30,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
