PLYMOUTH-STONEHOUSE,,,,,,,,,,
Grid ref,SX463539,Long,-4.16219,Lat,50.36494,Elevation,20,ft,,
Station no,RR6611,,,,,,,,,
,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809
January,,,2.56,,,,,,,
February,,,1.73,,,,,,,
March,,,1.11,,,,,,,
April,,,0.72,,,,,,,
May,,,2.55,,,,,,,
June,,,2.52,,,,,,,
July,,,3.6,,,,,,,
August,,,3.14,,,,,,,
September,,,0.99,,,,,,,
October,,,3.73,,,,,,,
November,,,4.26,,,,,,,
December,,,3.84,,,,,,,
Total,35.5,,30.75,,,,,,,
,,,,,,,,,,
1800 Annual total submitted by different observer from publication,,,,,,,,,,
Unknown where this was but NGR added in 1978 very close to Vicarage,,,,,,,,,,
