"OUGHTERSHAW",,,,,,,,,,,,
Grid ref,SD869814,Long,-2.202443,Lat,54.228143,,,,,,,
Station no,3343,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.38,6.45,2.65,7.21,5.93,5.62,9.92,6.53,,,,
February,6.04,1.54,6.11,5.13,3.79,3.10,6.06,9.15,,,,
March,6.97,5.75,1.24,3.59,2.65,3.47,6.14,2.06,,,,
April,4.59,3.86,4.36,2.27,3.09,2.22,0.94,2.22,,,,
May,3.92,2.87,2.51,4.51,5.64,3.54,3.47,7.08,,,,
June,1.93,3.81,4.01,4.94,4.87,3.15,2.53,5.23,,,,
July,2.91,2.82,7.52,6.88,1.30,6.04,6.77,5.00,,,,
August,5.39,7.74,6.93,7.60,1.35,13.93,8.36,6.16,,,,
September,5.55,6.31,6.07,10.76,4.33,4.65,5.30,7.68,,,,
October,2.92,6.97,3.50,15.79,5.10,5.41,9.29,,,,,
November,12.99,3.87,7.98,13.24,3.43,2.49,3.25,,,,,
December,16.21,5.72,3.67,13.05,11.22,9.19,8.43,,,,,
Total,75.80,57.71,56.55,94.97,52.70,62.81,70.46,,,,,
Calc annual,75.80,57.71,56.55,94.97,52.70,62.81,70.46,51.11,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
