"ABBEY ST BATHANS SCHOOL",,,,,,,,,,,,
Grid ref,NT763620,Long,-2.380107,Lat,55.850615,,,,,,,
Station no,5093/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,2.87,1.90,1.32,4.72,,
February,,,,,,,3.91,2.43,0.43,2.40,,
March,,,,,,,2.21,4.07,0.98,1.58,,
April,,,,,,,0.55,2.59,2.27,1.39,,
May,,,,,,,1.64,3.01,0.31,1.75,,
June,,,,,,2.50,1.83,3.77,1.51,1.17,,
July,,,,,,3.57,4.79,4.71,1.80,3.92,,
August,,,,,,9.90,5.73,4.23,0.56,3.81,,
September,,,,,,4.70,2.00,2.45,0.53,2.73,,
October,,,,,,1.55,1.50,1.52,2.11,9.79,,
November,,,,,,0.93,1.77,0.68,5.58,,,
December,,,,,,2.59,3.24,5.51,5.36,,,
Total,,,,,,,32.04,36.87,22.76,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,25.74,32.04,36.87,22.76,33.26,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,NaN,,
