WINCHESTER-HIGH-STREET,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU475287,Long,-1.32364,Lat,51.0557,Elevation,150,ft,,,,,,,,,,,,,
Station no,720,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,6.03,1.38,4.9,2.78,3.27,2.71,3.11,0.86,6.01,7.12,3.68,,
February,,,,,,,,,3.38,0.96,1.45,2.29,0.13,4.8,0.12,4.12,3.79,6.03,0.79,,
March,,,,,,,,,3.11,0.03,0.96,0.51,2.22,4.21,3.49,0.9,2.53,4.37,0.36,,
April,,,,,,,,,2.02,0.81,2.66,3.53,3.6,1.53,2.61,4.08,2.51,1.86,0.02,,
May,,,,,,,,,1.28,1.91,2,2.77,6.35,1.91,1.22,1.01,0.39,2.67,1.75,,
June,,,,,,,,,2.28,1.61,0.55,2.19,2.4,3.67,1.72,4.24,2.79,1.91,0.74,,
July,,,,,,,,,1.37,1.6,2.2,3.84,3.64,2.34,0.8,2.58,3.77,1.03,2.57,,
August,,,,,,,,,2.15,1.58,3.61,4.73,1.39,1.08,3.71,2.96,0.33,1.3,1.99,,
September,,,,,,,,,1.23,0.24,3.07,2.19,3.79,2.83,1.91,4.29,4.15,2.03,1.25,,
October,,,,,,,,,6.94,4.2,1.94,0.67,5.3,2.23,1.77,5.13,1.63,3.77,3.4,,
November,,,,,,,,,2.94,9.73,5.65,3.8,2.01,0.79,2.38,7.6,3.48,2.26,5.28,,
December,,,,,,,,,3.09,7.48,3.73,0.94,1.44,0.7,11.21,4.16,4.12,3.54,4.15,,
Total,,,,,,,,,35.82,31.53,32.72,30.24,35.54,28.8,34.05,41.93,35.5,37.89,25.98,,
,,,,,,,,,,,,,,,,,,,,,
Observer lived at 24 Edgar Rd,,,,,,,,,,,,,,,,,,,,,
He was the managing director of Hunt and Co Chemists 45 High St,,,,,,,,,,,,,,,,,,,,,
Distances to church and station fit better with 24 Edgar Rd so NGR is there despite name on sheet,,,,,,,,,,,,,,,,,,,,,
The elevation on the sheets of 200ft is too high for both Edgar Road and 45 High St,,,,,,,,,,,,,,,,,,,,,
1929 Observer says Gauge not in ideal position but best possible at present,,,,,,,,,,,,,,,,,,,,,
1935 July 12 Inspection Exposure very bad but best possible,,,,,,,,,,,,,,,,,,,,,
1939 Station terminated,,,,,,,,,,,,,,,,,,,,,
