GUILDFORD-CRANLEIGH,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ059391,Long,-0.48758047,Lat,51.141383,Elevation,180,ft.,,,,,,,,,,,,
Station no,RR8822,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,2.96,4.63,1.67,2.5,5.88,,,,,,,
February,,,,,,,,,1.38,2.19,2.95,2.42,1.75,,,,,,,
March,,,,,,,,,1.51,1.64,2.06,1.5,2.18,,,,,,,
April,,,,,,,,,2.22,1.2,0.29,3.72,1.14,,,,,,,
May,,,,,,,,,1.26,4.02,1.17,0.19,4.4,,,,,,,
June,,,,,,,,1.58,0.49,1.01,0.67,3.05,2.69,,,,,,,
July,,,,,,,,4.89,2.52,0.79,0.85,2.9,3.43,,,,,,,
August,,,,,,,,3.08,3.61,1.56,1.5,2.5,1.58,,,,,,,
September,,,,,,,,2.77,2.64,5.08,3.45,4.81,2.02,,,,,,,
October,,,,,,,,2.7,2.7,1.84,1.72,1.07,5.65,,,,,,,
November,,,,,,,,0.82,1.45,1.89,3.5,0.35,4.41,,,,,,,
December,,,,,,,,1.4,6.62,3.92,3.33,1.18,5.03,,,,,,,
Total,,,,,,,,,29.36,29.77,23.16,26.19,40.16,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the Rectory to Cranleigh Church. ,,,,,,,,,,,,,,,,,,,,
"The observers for 1860s and 1870s differ but are both reverends (1860s from British Rainfall), hence the assumption of the rectory.",,,,,,,,,,,,,,,,,,,,
No other information on records to confirm. ,,,,,,,,,,,,,,,,,,,,
Altitude from OS map. ,,,,,,,,,,,,,,,,,,,,
600m to nearest location covering same years,,,,,,,,,,,,,,,,,,,,
