WHALSAY (SALTNESS),,,,,,,,,,
Grid ref,HU542626,Long,-1.019901,Lat,60.343817,Elevation,30,ft,,
Station no,5833/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,6.1,2.73,2.21
February,,,,,,,,1.99,2,4.56
March,,,,,,,,1.4,1.22,0.9
April,,,,,,,,1.47,2.88,3.24
May,,,,,,,,3.12,1.07,1.45
June,,,,,,,2.14,0.32,2.54,2.13
July,,,,,,,3,3.47,2.4,1.17
August,,,,,,,3.13,3.07,1.81,1.45
September,,,,,,,4.16,3.94,0.87,2.73
October,,,,,,,6.15,4.44,3.56,2.23
November,,,,,,,3.91,2.83,4.89,5.08
December,,,,,,,4.63,4.08,6.34,4.63
Total,,,,,,,,36.23,32.31,31.78
,,,,,,,,,,
Gauge Move June 1957,,,,,,,,,,
1958 Nov corr,,,,,,,,,,
,,,,,,,,,,
BR 1957 NP,,,,,,,,,,
BR 1958 P ,,,,,,,,,,
BR 1959 NP Insp Report,,,,,,,,,,
1960 NP Insp Report,,,,,,,,,,
most sites in Shetland ,,,,,,,,,,
have this annotation,,,,,,,,,,
for 1960,,,,,,,,,,
,,,,,,,,,,
Station no,5833/2,,,,,,,,,
Midas,14383,,,,,,,,,
Hyd Stn,761845,,,,,,,,,
