ST-CATHERINES-POINT-LIGHTHOUSE,,,,,,,,,,
Grid ref,SZ498753,Long,-1.2975,Lat,50.5757,Elevation,51,ft,,
Station no,590,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.2,1.43,1.43,3.71,5.12,2.35,4.48,3.21,4.74
February,,0.89,1.13,3.37,1.98,0.16,3.78,3.02,0.27,2.71
March,,3.33,0.22,3.73,1.04,0.31,1.9,1.23,2.04,2.08
April,,1.39,1.27,0.26,0.57,2.02,0.27,0.56,2.37,1.3
May,,2.15,2.25,1.7,3.12,0.42,0.66,3,0.95,2.43
June,,0.93,1.37,2.79,3.22,1.93,1.06,3.23,0.37,1.24
July,1.32,0.31,2.29,3.44,0.36,2.1,3.89,1.39,2.07,3.6
August,3.27,1.81,1.37,2.48,1.58,4.81,2.09,4.52,2.26,5.19
September,,6.07,2.94,3.1,1.49,3.67,4.2,3.96,0.17,5.83
October,,3.83,2.89,2.83,2.03,1.31,2.29,2.48,3.38,7.43
November,7.07,5.97,1.8,5.9,1.72,0.96,2.55,3.21,4.34,6.72
December,,4.07,0.99,3.54,5.23,5.37,3.72,4.03,7.46,4.94
Total,,32.95,19.95,34.57,26.05,28.18,28.76,35.11,28.89,48.21
,,,,,,,,,,
,,,,,,,,,,
1951 June Gauge moved to new location ½ mile W at Lighthouse,,,,,,,,,,
"This NGR is at the lighthouse, not the NGR given on the sheet which is SE of the original site",,,,,,,,,,
"1951 June, Sept, Oct, Dec estimated",,,,,,,,,,
1951 Oct 8th Inspection- gauge in good condition – location might be a little over exposed to N but no other site available,,,,,,,,,,
,,,,,,,,,,
1956-1958 Values corrected from original records,,,,,,,,,,
