OXTED-NORTH-END,,,,,,,,,,
Grid ref,TQ392530,Long,-0.006455563,Lat,51.259175,Elevation,350,ft.,,
Station no,70/2,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,5.27,5.99,4.14,4.94,2.41
February,,,,,,2.21,5.01,1.09,1.66,2.53
March,,,,,,1.36,3.82,0.5,2.04,3.25
April,,,,,,2.26,3.53,0.52,2.89,1.79
May,,,,,,0.56,2.27,2.84,1.62,1.64
June,,,,,,2.78,2.29,0.58,0.96,0.63
July,,,,,,4.86,0.87,1.98,2.09,3
August,,,,,,0.59,1.96,2.2,2.83,0.16
September,,,,,,2.2,2.12,2.7,1.53,1.66
October,,,,,,2.5,2.97,3.58,7.7,3.61
November,,,,,,4.93,1.79,3.7,6.04,8.49
December,,,,,,3.43,4.76,3.71,1.84,2.18
Total,,,,,,32.95,37.38,27.54,36.14,31.35
,,,,,,,,,,
"NGR is based on the relationships to church and station, both are 200 yards. Altitudes match.",,,,,,,,,,
 900m from OXTED-STONE-HALL and covers additional years,,,,,,,,,,
