"SOUTHAMPTON EAST PARK",,,,,,,,,,,,
Grid ref,SU420123,Long,-1.404009,Lat,50.908648,,,,,,,
Station no,650,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.92,,
February,,,,,,,,,,0.43,,
March,,,,,,,,,,3.58,,
April,,,,,,,,,,1.30,,
May,,,,,,,,,,1.32,,
June,,,,,,,,,,5.45,,
July,,,,,,,,,,2.71,,
August,,,,,,,,,4.91,2.11,,
September,,,,,,,,,1.74,3.86,,
October,,,,,,,,,1.68,9.40,,
November,,,,,,,,,1.25,0.59,,
December,,,,,,,,,3.81,4.42,,
Total,,,,,,,,,,36.09,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.39,36.09,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
