UPHALL (BROXBURN),,,,,,,,,,
Grid ref,NT086726,Long,-3.46474,Lat,55.937733,Elevation,262,ft,,
Station no,"""5152/5/5",,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.98,0.57,3.69,1.99,1.61,4.1,,,
February,,0.45,0.71,1.43,1.64,1.71,4,,,
March,,0.92,0.7,1.71,1.64,1.43,2.05,,,
April,,1.1,2.27,1.4,0.67,0.57,1.06,,,
May,,1.26,1.9,5.24,2.97,1.12,2.59,,,
June,,2.39,1.93,2.73,1.56,3.43,1.81,,,
July,,2.7,4.56,2.23,1.03,5.03,3.68,,,
August,,4.22,2.6,5.19,1.23,6.25,3.14,,,
September,,2.17,2.54,3.37,1.65,4.7,1.49,,,
October,,1.71,1.09,7.5,1.79,2.55,2.69,,,
November,,2.2,3.49,3.44,1.04,0.55,2.2,,,
December,,2.97,3.46,4.03,4.52,3.08,3.08,,,
Total,,24.07,25.82,41.96,21.73,32.03,31.89,,,
