CARSHALTON-CARSHALTON-PARK-ROAD,,,,,,,,,,
Grid ref,TQ276637,Long,-0.16878045,Lat,51.35805,Elevation,200,ft.,,
Station no,103/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.49,1.76,1.8,1.1,4.65,5.22,2.38,4.78,
February,,0.3,2.78,0.31,3.21,2.36,4.43,0.74,1.49,
March,,1.5,2.85,2.33,0.24,1.23,3.84,0.4,1.31,
April,,2.39,0.61,2.61,2.98,1.73,2.66,0.21,2.54,
May,,3.94,3.08,0.43,1.45,1,2.68,2.02,1.86,
June,,1.14,1.14,0.84,4,2.47,1.84,0.56,1.21,
July,,2.89,1.78,2.17,1.3,3.55,0.77,1.54,2.41,
August,,1.07,0.51,2.13,2.62,0.96,2.41,2.35,3.99,
September,,1.66,2.58,1.16,3.31,2.77,2.5,,1.8,
October,,5.11,1.75,1.41,3.45,2.3,3.34,,5.67,
November,,0.93,0.87,2.33,4.9,3.85,1.44,3.84,4.31,
December,,0.4,0.39,6.2,3.91,2.85,4.73,3.27,1.45,
Total,,23.82,20.1,23.72,32.47,29.72,35.86,,32.82,
,,,,,,,,,,
NGR is on Carshalton Park at stated altitude and also stated relationships to church and station.,,,,,,,,,,
