"COLMONELL (KNOCKDOLIAN)",,,,,,,,,,,,
Grid ref,NX122857,Long,-4.947248,Lat,55.129968,,,,,,,
Station no,5268,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.49,5.04,1.52,3.77,3.06,2.82,4.23,6.20,1.73,2.94,,
February,3.40,1.18,1.49,4.13,3.37,0.92,3.15,4.27,1.85,5.26,,
March,3.28,2.15,0.29,4.15,1.36,1.42,3.23,0.96,3.79,1.61,,
April,2.11,1.67,1.58,1.11,2.78,1.13,1.57,1.71,2.65,3.57,,
May,2.01,1.85,1.93,2.40,2.65,2.06,1.53,1.73,1.63,2.05,,
June,1.51,2.44,0.84,4.07,2.86,2.35,1.29,4.00,2.78,2.02,,
July,1.98,2.76,4.91,4.31,1.07,3.86,5.30,3.91,2.80,4.51,,
August,5.55,5.68,2.18,4.37,1.47,5.99,3.14,3.33,1.04,4.69,,
September,3.06,2.83,6.30,5.35,3.62,3.51,4.92,3.83,2.02,3.90,,
October,1.04,4.57,4.84,7.59,3.28,3.11,5.50,2.93,6.76,2.83,,
November,7.81,2.54,6.04,7.76,3.00,2.19,2.10,1.36,4.62,6.82,,
December,7.46,3.66,4.31,6.37,4.38,5.13,4.76,5.99,6.63,4.51,,
Total,43.70,36.37,36.23,55.38,32.90,34.49,40.72,40.22,38.30,44.71,,
Calc annual,43.70,36.37,36.23,55.38,32.90,34.49,40.72,40.22,38.30,44.71,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
