COLYTON-COLYFORD,,,,,,,,,,,
Grid ref,SY250925,Long,-3.0629,Lat,50.7278,Elevation,50,ft,,,
Station no,1813/5,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,3.16,5.26,1.35,
February,,,,,,,,2.97,2.76,1.88,
March,,,,,,,,3.52,2.71,0.18,
April,,,,,,,,1.85,1.43,0.81,
May,,,,,,,,0.84,1.47,2.34,
June,,,,,,,,2.13,1.89,2.08,
July,,,,,,,,3.91,1.7,1.02,
August,,,,,,,,3.09,1.83,2.47,
September,,,,,,,,4.94,1.49,,
October,,,,,,,,2.01,5.22,,
November,,,,,,,,3.58,3.24,,
December,,,,,,,,3.53,2.36,,
Total,,,,,,,,35.53,31.36,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Obs moved from Launceston, Cornwall where father had a gauge",,,,,,,,,,,
"Obs moved to Dorset, then back to Devon with gauge in both places",,,,,,,,,,,
,,,,,,,,,,,
"Unknown where this gauge was, but the 50ft contour runs around several houses at this elevation",,,,,,,,,,,
This NGR is centre of likely area,,,,,,,,,,,
