WREXHAM-WW-CWM-GWYN,,,,,,,,,,
Grid ref,SH965305,Long,-3.5387863,Lat,52.862001,Elevation,1600,ft.,,
Station no,4324/3/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,5.99,1.53,2.55,4.43,5.3,6.86,6.2,6.35,8.4
February,,2.16,2.4,5.4,3.87,1.7,8.95,9.25,0.65,6.3
March,,3.01,,5.15,4.42,2.85,5.3,2.2,4.65,
April,,3.08,3.9,1.2,3.05,1.65,0.49,1.15,6.72,
May,,3.31,3.2,6.75,6.3,1.22,3.04,8,1.13,
June,,2.76,5.02,5.15,5.55,2.6,2.25,5.17,2.67,
July,3.03,2.45,4.35,4.75,0.6,5.55,8.2,4.7,4.93,
August,6.05,4.6,6.01,5.7,1.75,6.9,8.31,4.7,1.66,
September,5.05,3.6,3.7,5.8,2.15,4.25,7.66,10.01,0.4,
October,1.96,8.6,6.47,10.25,4.1,3.24,5.43,4.75,7.35,
November,13.24,3.6,2.36,12.15,4.97,2.53,3.96,3.1,6.55,
December,7.28,5.03,3.6,5.4,7.15,7.73,5.44,5.55,13.85,
Total,,48.19,,70.25,48.34,45.52,65.89,64.78,56.91,
,,,,,,,,,,
NGR is from 1950s record and is near Cwm Gwyn at the correct altitude.,,,,,,,,,,
Cannot find the connection with Wrexham Water Works,,,,,,,,,,
