BROADMOOR-INSTITUTION-1920s-2ND-GAUGE,,,,,,,,,,,
Grid ref,SU849640,Long,-0.78178517,Lat,51.368725,Elevation,400,ft.,,,
Station no,775,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,1.7,2.85,2.45,3.61,,,,
February,,,,3.85,0.28,3.7,2.47,,,,
March,,,,2.96,0.63,1.01,0.53,,,,
April,,,,2.72,3.17,1.77,3,,,,
May,,,,2.72,3.39,3.24,1.82,,,,
June,,,,0.29,3.41,0.01,3.03,,,,
July,,,,1.01,3.44,3.12,2.53,,,,
August,,,,2.66,2.61,2.81,1.47,,,,
September,,,,1.64,3.16,3.45,1.69,,,,
October,,,,6.11,3.56,2.68,2.65,,,,
November,,,,1.85,2.7,2.05,5.92,,,,
December,,,,2.09,4.55,3.53,0.83,,,,
Total,,,,29.6,33.75,29.82,29.55,,,,
,,,,,,,,,,,
NOTES,,,,,,,,,,,
"NGR is only part of site at 400 ft. and is close the buildings and is assumed to be beside the other gauge, if there was another gauge.",,,,,,,,,,,
"There are two records for 1923 to 1926 inclusive, originally the longer record duplicated the shorter record for all readings but subsequently the a lot of the readings were amended, without explanation. This record is the shorter record and  still duplicates a lot of the readings in the other record..",,,,,,,,,,,
