"NANTYFFRITH RES",,,,,,,,,,,,
Grid ref,SJ244532,Long,-3.129784,Lat,53.070664,,,,,,,
Station no,874909,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,5.77,3.68,0.82,4.87,1.48,1.51,2.50,,
February,,,,3.24,4.37,1.69,2.44,1.57,2.54,1.12,,
March,,,,5.94,2.80,4.73,1.92,1.48,3.83,3.26,,
April,,,,2.14,1.44,3.68,1.01,3.00,4.68,3.13,,
May,,,,4.34,2.43,0.94,3.22,2.94,3.90,1.38,,
June,,,,1.67,1.51,3.84,1.25,4.15,2.72,4.42,,
July,,,,4.37,1.99,3.24,0.68,1.97,4.36,3.48,,
August,,,,4.96,5.19,5.55,2.47,3.20,4.60,3.48,,
September,,,,5.22,2.08,2.03,0.97,0.71,4.12,4.03,,
October,,,,10.02,1.49,3.05,4.83,8.62,3.30,4.65,,
November,,,,3.36,2.06,4.67,3.20,3.09,2.49,1.41,,
December,,,,2.98,2.55,0.74,3.47,3.32,2.98,4.53,,
Total,39.02,33.79,32.89,54.01,31.59,34.98,30.33,35.53,41.03,37.39,,
Calc annual,0.00,0.00,0.00,54.01,31.59,34.98,30.33,35.53,41.03,37.39,,
Difference,39.02,33.79,32.89,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
