ELLESMERE-THE-CANAL,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ401342,Long,-2.8919705,Lat,52.901884,Elevation,308,ft.,,,,,,,,,,,,
Station no,RR2014,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,,,,,1.4,3.23,1.23,1.68,2.27,2.42,2.87,3.29,3.96,1.55,2.35,2.35,3.45,2.49,5.1,
February,,,,,2.76,3.97,3,1.13,2.1,2.6,2.31,0.34,3.35,4.43,0.29,4.15,2.17,1.54,2.34,
March,,,,,2.69,0.78,2.85,2.61,0.89,5.36,3.97,1.46,2.14,1.44,1.09,0.83,0.33,2.08,2.23,
April,,,,,1.1,1.4,0.64,1.34,2.08,1.83,4.32,1.03,2.86,2.15,2.33,1.33,1.16,2.86,1.13,
May,,,,,1.95,2.8,2.68,3.91,3.28,0.81,5.62,1.4,0.67,3.33,6.61,3.17,2.82,1.4,1.53,
June,,,,,2.2,1.6,1.98,3.56,0.57,1.14,3.65,0.15,0.72,0.34,1.82,0,1.44,4.04,4.84,
July,,,,,4.01,4.09,1.29,1.46,4.73,1.26,4.75,0.44,3.22,2.51,4.49,2.72,2.8,3.87,1.22,
August,,,,,2.3,2.56,1.37,6.13,1.87,2.62,1.62,3.49,2.59,2.29,3.09,2.95,3.29,4.51,3.53,
September,,,,,1.31,0.71,1.41,0.86,5.91,1.98,2.35,0.82,2.15,2.14,3.43,2.33,2.4,3.67,1.69,
October,,,,,1.97,3.03,4.37,4.07,1.78,3.22,2.98,3.82,0.59,4.19,4.28,3.07,2.74,3.1,4.74,
November,,,,,3.59,3.6,3.14,1.82,1.32,1.06,1.12,2.8,0.9,2.29,2.08,2.11,5.86,3.55,5,
December,,,,,7.32,6.06,2.16,0.98,4.11,4.15,3.06,2.67,4.05,3.16,4.3,2.89,0.48,1.46,2.5,
Total,,,,,32.6,33.83,26.12,29.55,30.91,28.45,38.62,21.71,27.2,29.82,36.16,27.9,28.94,34.57,35.85,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is from Location on records sheet 52:54:08N 02:53:28:W. The altitude matches 1910 record but not the 1920s record. The 1920s records say the observer is a Canal Engineer LM&  Railway; the location is beside a canal ,,,,,,,,,,,,,,,,,,,,
