OUNDLE-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL039882,Long,-0.471484,Lat,52.481842,Elevation,144,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,1.63,1.72,0.59,3.46,,0.92,1.04,1.47,0.99,,,,2.18,1.22,1.69,1.62,3.89,1.81,1.92,2.36,1.02,1.69,0.84,2.38,1.46,2.72,1.06,1.78,0.97,0.84,1.09,0.8,0.57,3.2,2.51,2.03,3.97,1.75,3.6,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,0.46,2.49,0.47,1.24,1.09,0.98,0.35,2.37,1.05,,,,2.62,3.86,0.59,1,2.37,0.86,0.36,1.67,2.71,0.56,1.69,1.75,1.86,1.16,0.78,0.76,2.11,0.35,1.57,0.42,1.47,1.65,2.49,0.61,0.43,2.5,1.79,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,2.78,1.25,1.81,1.19,0.97,2.46,,0.61,1.69,,,,0.9,4.58,1.38,0.59,2.84,2.04,0.81,1.67,1.57,0.75,0.83,0.43,1.57,1.03,0.07,1.61,0.31,1.26,2.35,1.13,0.46,1.04,3.36,0.15,1.3,1.92,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,1.37,0.69,1.45,,,2.07,,1.65,,,,,0.78,0.79,1.03,2.62,1.91,4.07,1.06,2.73,1.06,2.72,1.21,2.2,1.31,0.94,0.82,2.26,2.34,2.59,0.81,1.66,2.66,1.89,1.94,0.07,2.28,1.6,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,2.03,1.37,1,1.46,4.44,1.48,1.77,2.61,,,,,1.84,2.42,1.49,1.73,0.89,1.41,0.89,1.17,0.91,3.85,3.02,1.93,0.63,2.06,0.83,3.31,1.98,3.36,1.61,0.49,0.67,1.17,3.01,2.22,0.57,1.37,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,2.48,0.68,3.03,3.16,1.36,0.95,2.75,1.02,1.64,,,,1.82,1.5,2.91,0.35,0.78,1.67,0.43,0.88,0.5,1.66,0.12,2.06,2.79,2.14,0.75,0.23,1.61,0.33,3.1,1.06,3.2,3.46,1.23,1.62,1.62,0.71,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,3.02,2.61,0.58,1.12,2.24,2.6,,1.69,0.39,,,,3.86,0.99,1.34,2.27,2.65,3.32,0.26,3.3,2.78,1.9,1.72,1.96,2.39,1.98,1.86,1.9,2.89,3.63,1.29,2.61,0.42,5.63,1.6,1.48,2.76,2.68,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,3.84,2.25,3.14,1.5,,2.26,,2.09,,,,,2.29,2.69,5.74,0.89,1.87,1.32,1.63,4.73,2.02,1.7,1.11,0.91,2.98,1.47,0.48,1.7,3.02,1.67,0.66,1.41,2.52,0.54,1.11,2.22,4.83,0.01,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,2.53,1.76,1.8,0.99,,1.41,,0.7,,,,,0.88,0.67,2.09,4.33,1.48,1.92,0.9,2.1,2.35,1.92,2.46,1.18,3.81,0.62,0.54,3.53,2.37,2.39,2.51,1.51,2.83,2.2,1.27,1.73,1.28,0.42,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,5.86,0.71,1.27,3.45,,1.49,,1.68,2.81,,,,1.1,1.75,2.88,1.6,1.3,1.06,1.6,0.85,2.78,3.54,2.55,2.33,1.43,2.81,2.37,0.82,0.47,2.76,1.41,0.81,2.51,1.22,1.9,1.74,3.52,2.15,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
