TUTBURY-FOSTON,,,,,,,,,,
Grid ref,SK219310,Long,-1.6760563,Lat,52.876028,Elevation,178,ft.,,
Station no,2647/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.21,3.6,1.62,2.66,2.54,5.45
February,,,,,1.97,0.86,1.97,4.2,0.27,1.7
March,,,,,2.74,1.24,2.2,1.85,1.58,1.57
April,,,,0.58,1.32,1.28,0.19,0.77,2.55,1.06
May,,,,2.27,2.94,0.75,1.06,2.09,0.45,1.61
June,,,,3.51,4.27,2.1,1.21,5.08,0.74,2.99
July,,,,2.19,0.63,2.76,3.49,4.5,2.11,3.37
August,,,,5.72,0.55,4.92,4.5,2.28,0.62,3.96
September,,,,2.7,1.48,2.39,5.46,2.85,0.07,4.84
October,,,,3.52,1.84,1.36,1.78,3.28,2.28,5.26
November,,,,4.75,2.27,0.84,2.03,1.58,3.16,3.66
December,,,,3.56,1.95,3.19,2.02,3.41,3.94,3.06
Total,,,,,24.17,25.29,27.53,34.55,20.31,38.53
,,,,,,,,,,
NGR is from the 1950s record and is between Tutbury and Foston. Altitudes match.,,,,,,,,,,
MIDAS src_id 3213 has same NGR and station continued to 1986,,,,,,,,,,
