EAST-CLANDON-OLD-MANOR-FARM,,,,,,,,,,
Grid ref,TQ059517,Long,-0.48386743,Lat,51.254642,Elevation,290,ft.,,
Station no,211/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.08,1.82,3.06,3.15
February,,,,,,,4.06,2.34,0.06,2.3
March,,,,,,,1.31,1.81,2.66,1.91
April,,,,,,,0.35,1.21,2.65,0.72
May,,,,,,,1.8,2.65,0.7,1.97
June,,,,,,,0.86,3.62,0.84,2.07
July,,,,,,,4.06,1.47,3.19,2.86
August,,,,,,,2.41,3.6,2.18,3.82
September,,,,,,,2.82,4.78,0.17,2.63
October,,,,,,,1.64,2.68,3.02,8.04
November,,,,,,,3.01,2.37,4.08,5.16
December,,,,,,,2.23,2.36,5.42,3.48
Total,,,,,,,26.63,30.71,28.03,38.11
,,,,,,,,,,
NGR is from the 1950s record and is Old Manor Farm. Altiudes match.,,,,,,,,,,
MIDAS src_id 6452 and continues to 1970,,,,,,,,,,
