"LEYTON, SEWAGE WORKS",,,,,,,,,,,,
Grid ref,TQ376862,Long,-0.016502,Lat,51.557907,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,1.93,1.05,3.83,0.65,1.21,0.68,,
February,,,,,2.32,0.77,1.67,1.01,1.30,0.29,,
March,,,,,1.42,3.03,0.75,0.78,1.92,2.36,,
April,,,,,0.94,1.71,0.81,3.42,2.13,1.76,,
May,,,,,1.32,0.70,1.16,1.73,1.44,1.47,,
June,,,,,0.66,3.05,2.34,1.76,1.69,4.10,,
July,,,,,1.63,0.76,0.61,2.53,3.48,3.15,,
August,,,,4.21,1.46,2.28,1.38,1.74,2.39,1.66,,
September,,,,2.35,1.08,1.83,1.73,1.19,1.42,2.21,,
October,,,,5.94,1.44,1.02,2.97,2.30,1.59,3.60,,
November,,,,1.47,1.69,2.67,3.32,2.01,0.60,0.78,,
December,,,,1.10,1.57,0.57,1.90,3.28,1.39,2.51,,
Total,,,,,17.46,19.44,22.47,22.40,20.56,24.57,,
Calc annual,0.00,0.00,0.00,15.07,17.46,19.44,22.47,22.40,20.56,24.57,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,,
