CHICHESTER (Infirmary),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU859056,Long,-0.7801,Lat,50.8442,Elevation,62,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.64,3.16,3.54,1.63,2.35,4.59,2.93,3.94,1.77,2,2.46,1.95,3.49,4.2,4.08,2.46,0.34,3.23,2.46,1,1.69,3.71,0.45,2.14,3.19,1.37,4.19,6.15,3.32,3.05,2.91,1.69,3.09,5.2,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.13,1.88,2.09,2.26,1.56,3.4,1.94,1.69,1.91,3.9,2.2,1.85,1.01,0.79,0.53,0.77,2,0.94,0.22,1.21,1.52,0.95,2.01,0.52,0.49,1.12,2.2,4.78,1.77,1.03,1.84,2.48,1.34,1.98,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.65,2.15,0.11,1.56,1.78,1.13,4.18,0.92,2.28,1.15,3.56,0.94,0.58,3.69,0.42,2.01,0.39,2.29,1.44,1.74,0.96,1.21,2.16,2.29,4.2,0.99,4.01,1.11,1.83,3.08,1.41,1.72,1.43,0.83,2.69,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,0.79,1.54,0.2,1.39,0.1,2.68,0.89,1.36,2.05,1,3.26,3.39,3.41,2.01,0.55,3.57,0.14,0.22,3.14,1.68,2.11,3,1.31,0.6,1.57,0.58,1.49,0.55,1.1,1.55,2.25,1.06,0.17,4.12,0.84,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.24,0.6,1.43,3.04,1.09,5.62,0.06,2.9,1.8,1.53,0.43,3.17,2.13,1.19,2.1,1.94,3.44,2.25,3.28,1.1,1.72,0.89,3.55,1.6,3.52,1.2,1.41,2.65,0.96,1.68,0.91,4.31,0.9,0.15,2.7,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.25,1.87,1.41,1.92,0.82,2.02,1.14,1.93,0.91,1.49,3.88,0.95,2.17,1.72,4.95,2.25,1.49,0.54,1.17,2.43,0.47,0.83,5.07,1.96,1.31,3.46,1.3,2.23,1.9,1.95,0.69,1.64,0.24,3.11,1.94,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,2.06,4.15,3.68,1.74,0.79,1.73,1.62,2.02,1.95,0.69,3.16,2.16,1.93,2.22,1.03,4.4,0.89,3.94,0.72,1.76,2.52,2.36,3.43,3.91,1.82,0.75,0.22,2.48,1.77,4.03,0.81,1.09,1.94,3.98,3.05,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,1.1,1.34,1.73,3.47,3.64,4.18,2.83,1.97,5.32,1.25,4.84,0.71,2.8,1.23,3.08,2.84,0.69,1.07,3.42,1.4,2.85,1.68,3.87,0.47,1.45,1.87,1.39,4.39,2.31,3.21,3.57,0.59,2.13,1.41,2.57,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,3.23,5.83,4.1,4.13,4.19,0.38,0.62,2.78,1.84,1.14,2.21,4.17,2.15,0.25,5.74,2.89,1.12,3.52,4.28,4.32,1.77,3.09,4.17,3.31,1.62,4.87,3.41,0.03,6.18,1.92,2.8,4.83,1.61,4.51,1.42,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.34,2.65,1.67,6.31,2.13,5.11,4.13,2.03,5.88,2.3,4.01,3.71,1.78,2.96,5.65,6.19,3.47,6.94,2.7,6.48,1.73,4.42,2.35,2.52,5.6,3.19,1.86,10.61,1.43,3.17,3.41,2.29,4.38,1.32,4.98,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
