PARKSIDE-STAINES-CUMBERLAND-LODGE,,,,,,,,,,
Grid ref,SU968714,Long,-0.608874,Lat,51.433342,Elevation,230,ft.,,
Station no,RR1954,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,1.97,2.64,0.97,3.43,2.67,2.87,3.52,2.55
February,,,0.53,0.47,1.15,2.34,3.71,1.68,1.39,2.52
March,,,4.48,0.84,2.66,0.99,1.56,2.87,1.02,1.09
April,,,1.99,0.54,1.44,0.5,2.41,1.9,1.9,1.88
May,,,3.98,1.42,1.44,2.62,2.07,0.98,0.98,3.97
June,,,2.37,4.89,1.42,2.51,3.65,1.35,0.56,1.16
July,,,1.76,1.31,0.64,2.21,1.58,2.64,3.28,1.25
August,,,2.37,3.07,1.08,3.78,2.88,1.82,3.82,1.5
September,,,1.08,4.1,2.94,0.32,3.61,2.16,2.78,4.84
October,,,2.61,1.62,1.52,6.2,1.53,2.47,3.71,1.6
November,,,0.98,1.62,2.07,2.94,1.61,0.98,1.49,2.75
December,,,1.54,1.3,0.8,1.71,2.28,1.82,5.46,2.48
Total,,,25.66,23.82,18.13,29.55,29.56,23.54,29.91,27.59
,,,,,,,,,,
NOTES,,,,,,,,,,
"NGR is Cumberland Lodge. Altitude is from OS maps, altitude on record of 200ft is too low",,,,,,,,,,
Jan to Sep 1867 are duplicates of Parkside also Feb 1862 is a duplicate. The 1867 sequence suggest that the readings have been copied but it is not possible to determine which is the original record. Note Parkside is about 1km East of Cumberland Lodge on the edge of Windsor Park.,,,,,,,,,,
