PARKSIDE-STAINES,,,,,,,,,,,,,,,,,,,,
Grid ref,SU977709,Long,-0.59606897,Lat,51.428693,Elevation,210,ft.,,,,,,,,,,,,
Station no,RR1954,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,2.53,0.59,0.93,2.26,2.19,0.34,,2.44,0.31,1.44,2.22,0.71,2.51,3.51,2.87,4.01,
February,,,,0.8,0.96,0.25,0.74,0.24,1.34,,0.84,2.39,0.53,0.3,1.43,2.13,2.14,1.68,1.21,
March,,,,1.48,0.33,2.31,0.97,0.91,1.41,,2.88,1.6,4.03,0.55,1.93,0.55,1.19,2.87,1.98,
April,,,,2.45,0.63,0.54,2.45,1.8,0.97,,1.59,0.46,2.5,0.35,1.99,0.42,2.07,1.9,1.69,
May,,,,1.89,3.1,1.77,3.55,0.82,0.38,,2.9,1.18,2.28,0.56,0.96,2.43,1.09,0.98,1.46,
June,,,,2.76,1.72,0.83,1.04,2.56,0.03,,5.15,1.94,1.11,2.67,0.61,2.16,1.65,1.35,1.09,
July,,,,3.15,0.71,7.67,1,2.56,0.78,,2.74,2.1,1.46,1.23,0.2,2.64,2.01,2.64,2.31,
August,,,,2.64,1.03,1.55,2.76,3.4,0.46,,4.08,0.33,1.08,0.67,0.59,2.94,2.66,1.82,3.05,
September,,,,1.47,0.31,2.08,2.14,4.13,0.85,,2.93,1.63,2.4,1.01,2.54,0.21,5.23,2.16,2.38,
October,,,,3.5,2.84,4.9,2.62,5.06,1.52,,1.47,1.02,4.07,4.21,1.35,5.73,2.79,1.95,2.32,
November,,,,0.99,1.31,1.11,0.95,1.75,0.78,,3.14,1.92,1.04,2.54,1.63,2.1,2.68,0.17,1.14,
December,,,,1.22,1.76,1.1,1.84,0.35,1.54,,1.62,1.44,0.85,1.73,0.96,1.83,3.12,2.09,6.09,
Total,,,,24.88,15.29,25.04,22.32,25.77,10.4,,31.78,16.32,22.79,18.04,14.9,25.65,30.14,22.48,28.73,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is Parkside near Windsor. Altitude is from OS maps,,,,,,,,,,,,,,,,,,,,
"Jan to Sep 1867 are duplicates of Cumberland Lodge, an 8 year record 1862 t 1869, also Feb 1862 is a duplicate. The 1867 sequence suggest that the readings have been copied but it is not possible to determine which is the original record. Note Cumberland Lodge is about 1km West of Parkside actually in Windsor Park.",,,,,,,,,,,,,,,,,,,,
