CASTLE KENNEDY LOCHINCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX113607,Long,-4.944839,Lat,54.905272,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,5001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January ,,,,,5.9,3.52,5.2,5.01,8.54,2.83,6.62,5.78,3.42,3.83,4.89,3.46,5.73,4.57,5.74,5.09,5.79,1.73,7.55,6.66,4.81,4.97,6.56,5.02,8.42,3.9,2.18,5.31,4.18,1.79,4.53,4.22,4.95,4.55,6.73,2.47,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February ,,,,,1.13,4.98,4.86,2.15,3.37,3.12,0.39,3.36,0.1,3.87,0.63,3.92,2.34,7.22,2.79,3.86,3.36,3.69,2.69,2.84,1.56,5.2,2.94,0.89,2.37,2.67,4.06,3.19,0.8,1.67,4.82,4.09,1.08,3.74,5.35,2.06,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March ,,,,,1.85,1.53,2.09,4.85,4.39,1.23,2.83,1.24,2.5,3.61,3,1.71,2.63,1.54,1.31,4.32,5.82,3.07,4.22,1.02,0.75,2.04,2.43,6.61,3.14,2.97,2.92,3.72,2.78,0.45,4.58,1.9,1.81,5.12,1.68,3.45,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,,,,,2.82,3.82,1.5,2.25,1.99,1.1,2.06,2.22,4.96,2.47,2.33,4.19,0.95,3.07,0.62,2.02,2.87,1.98,2.73,3.02,3.12,2.15,1.29,4.22,1.47,3.75,3.23,1.73,1.55,1.71,1.19,2.72,1.44,1.6,1.54,3.29,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,,,,,3.5,4.49,3.73,2.38,1.62,4.35,1.93,3.32,2.96,2.52,4.34,0.84,3.24,1.99,3.72,1.32,1.65,2.95,3.3,3.84,2.59,3.13,1.06,4.37,1.49,1.81,1.64,2.83,2.56,2.65,2.73,3.63,1.46,2.38,2.56,0.93,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June ,,,,,3.23,0.73,2.27,4.82,5.23,2.45,2.43,4.93,2.13,3.25,2.35,3.21,4.93,2.97,5.13,2.35,1.18,0.91,0.72,3.76,3.79,4.75,2.98,4.26,4.31,0.97,3.47,1.92,3,1.14,4,3.8,2.8,1.86,4.1,2.58,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July ,,,,,4.51,2.97,3.79,2.95,2.4,3.09,2.7,2.85,3.76,2.85,2.09,2.2,7.56,4.39,5.49,4.35,4.16,4.15,3.78,1.8,4.52,3.26,3.38,3.18,3.24,1.86,3.71,2.42,2.49,7.08,3.94,1.78,4.13,6.02,4.4,2.52,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,,,,,4.9,2.38,3.92,3.56,4.95,6.17,5.95,2.59,2.31,3.16,4.43,1.92,3.97,2.62,4.34,1.71,1.56,5.23,5.2,6.53,3.84,1.37,3.89,0.3,4.47,4.29,4.88,5.32,5.21,2.75,4.02,1.62,8.05,3.21,5.23,0.85,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,,,,,6.83,4.59,3.41,6.27,2.4,1.24,4.2,2.69,5.34,0.62,6.26,4.76,5.29,3.43,4.53,3.42,4.32,3.17,4.93,4.28,5.77,4.03,6.11,3.71,4.43,2.58,9.64,3.12,3.34,6.28,5.89,3.17,4.37,5.6,5.33,2.68,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,,,,,2.95,4.49,5.13,5.31,7.67,6.55,7.41,3.43,6.59,4.14,7.32,6.4,4.29,3.49,8.79,4.06,5.65,5.49,5.42,6.36,6.89,4.59,0.81,1.44,5.67,7.24,4.07,0.64,4.25,4.75,7.55,2.39,3.22,4.96,3.95,6.64,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
