BICKERTON-PECKFORTON-PUMPING-STATION,,,,,,,,,,
Grid ref,SJ530553,Long,-2.7032818,Lat,53.092827,Elevation,308,ft.,,
Station no,2761/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.08,1.5,2.88,3.44,5.23
February,,,,,,0.46,2.5,4.48,0.3,2.45
March,,,,,,1.15,2.34,1.29,1.55,1.45
April,,,,,,2.73,0.43,0.59,3.46,1.48
May,,,,,,0.84,1.52,2.1,3.06,1.82
June,,,,,,2.25,1.64,5.14,2.29,1.84
July,,,,,0.44,3.56,5.76,3.67,3.32,3.19
August,,,,,1.08,6.89,3.87,3.07,0.58,4.2
September,,,,,3.02,2.2,6.76,6.34,0.2,4.24
October,,,,,1.92,2.42,2.5,2.71,2.59,4.79
November,,,,,1.68,0.87,1.82,2.25,3.61,4.3
December,,,,,2.95,2.5,1.21,3.15,5.47,2.43
Total,,,,,,29.95,31.85,37.67,29.87,37.42
,,,,,,,,,,
NGR is from the 1950s record and is near the pumping station.,,,,,,,,,,
"Stated altitude slightly high, 20 ft., but original figure of 308 is closer and used here.",,,,,,,,,,
Pumping station is 100m W and is a better match to revised altitude.,,,,,,,,,,
MIDAS src_id 11778 ends 1978,,,,,,,,,,
