"LIBERTON, THE INCH",,,,,,,,,,,,
Grid ref,NT276708,Long,-3.160177,Lat,55.924804,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,3.95,,
February,,,,,,,,,,2.04,,
March,,,,,,,,,3.60,3.65,,
April,,,,,,,,,2.06,2.58,,
May,,,,,,,,,1.60,1.54,,
June,,,,,,,,,0.52,1.97,,
July,,,,,,,,,3.39,3.54,,
August,,,,,,,,,1.47,1.63,,
September,,,,,,,,,2.68,2.73,,
October,,,,,,,,,1.08,5.06,,
November,,,,,,,,,1.34,0.87,,
December,,,,,,,,,0.39,3.36,,
Total,,,,,,,,,,32.92,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.13,32.92,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
