ABBEY-CWMHIR-FORESTERS-HOUSE,,,,,,,,,,
Grid ref,SO044719,Long,-3.4045323,Lat,52.336823,Elevation,950,ft.,,
Station no,4241/5/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.88,6.63
February,,,,,,,,,0.4,5.61
March,,,,,,,,,3.47,2.26
April,,,,,,,,,4.66,3.24
May,,,,,,,,,1.82,1.44
June,,,,,,,,,4.37,2.63
July,,,,,,,,,4.29,5.21
August,,,,,,,,,0.72,4.27
September,,,,,,,,,0.2,3.89
October,,,,,,,,,5.31,6.33
November,,,,,,,,,6.03,8.92
December,,,,,,,,4.09,8.78,7.17
Total,,,,,,,,,45.93,57.6
,,,,,,,,,,
NGR is Foresters House. Altitudes match.,,,,,,,,,,
MIDAS src_id 10493 ends 1984,,,,,,,,,,
