LLANTHONY-CAPEL-Y-FFIN-9A,,,,,,,,,,
Grid ref,SO251315,Long,-3.091865,Lat,51.976897,Elevation,1200,ft.,,
Station no,RR7189,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,7.15,,,,,,,
February,,3.59,4.85,,,,,,,
March,,3.34,11.11,,,,,,,
April,,2.98,0.52,,,,,,,
May,,3.09,2.44,,,,,,,
June,,4.41,5.11,,,,,,,
July,,0.96,,,,,,,,
August,,3.41,,,,,,,,
September,,3.64,1.81,,,,,,,
October,,5.17,6.51,,,,,,,
November,,9.26,3.45,,,,,,,
December,,14.98,8.58,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
NGR is in Capel-y-Ffin near the stated altitude. ,,,,,,,,,,
NGR could be +/- 200m.,,,,,,,,,,
