LLANTHONY-CAPEL-Y-FFIN-9B,,,,,,,,,,
Grid ref,SO251315,Long,-3.091865,Lat,51.976897,Elevation,1200,ft.,,
Station no,RR7190,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,8.02,3.06,6.48,2.3,1.77,4.79,
February,,,,3.33,7.64,10.86,,1.85,3.28,
March,,,,10.38,7.77,0.9,,4.26,2.47,
April,,,,8.94,1.87,2.09,2.01,2.78,3.16,
May,,,,5.16,3.35,5.39,4.55,5.93,1.54,
June,,,,1.82,3.28,1.26,2.65,3.09,1.01,
July,,,,0.75,4.86,,1.91,3.14,6.16,
August,,,11.24,3.47,3.71,,3.04,10.25,0.8,
September,,,1.71,5.03,2.5,0.99,2.7,3.37,9.18,
October,,,6.33,7.64,4.38,6.47,10.43,5.59,2.68,
November,,,3.03,6.99,7.69,4.05,6.07,2.36,3.17,
December,,,7.65,2.75,13.51,12.06,3.46,2,7.11,
Total,,,,64.28,63.62,,,46.39,45.35,
,,,,,,,,,,
NGR is in Capel-y-Ffin near the stated altitude. ,,,,,,,,,,
"NGR could be +/- 200m and the gauge is noted as moving between the monastery and church, which are 200m apart.",,,,,,,,,,
1913 total in brackets presumably because gauge moved mid June. The move was only 200m therefore total left in this record,,,,,,,,,,
