"STOCKPORT (CHERRY TREE HOSPITAL)",,,,,,,,,,,,
Grid ref,SJ915886,Long,-2.129285,Lat,53.394163,,,,,,,
Station no,2741,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.27,3.07,1.14,3.13,1.90,4.09,1.92,3.45,2.95,5.38,,
February,2.24,1.66,1.39,2.32,1.40,1.09,2.06,4.84,0.38,2.34,,
March,4.82,1.87,2.16,1.96,1.48,1.04,2.98,1.93,1.72,0.66,,
April,2.56,2.91,1.83,0.46,1.77,2.07,0.28,0.64,2.58,1.51,,
May,1.37,1.56,2.02,2.31,2.48,0.95,1.38,2.29,0.44,1.80,,
June,0.98,2.43,2.36,2.24,2.14,2.77,1.84,5.25,2.54,1.72,,
July,3.45,4.60,4.59,4.44,1.06,5.61,3.37,3.82,3.62,4.05,,
August,4.07,1.75,3.78,4.19,1.17,8.39,4.28,5.66,0.31,5.75,,
September,2.01,2.95,2.02,3.39,1.61,2.46,7.33,3.03,0.20,3.74,,
October,0.83,3.11,1.92,5.25,1.62,2.21,3.50,2.47,2.65,3.33,,
November,7.04,1.99,2.41,4.53,1.35,1.52,1.47,1.33,3.51,5.30,,
December,4.95,2.38,1.34,3.83,2.52,4.45,3.22,2.68,4.87,3.73,,
Total,37.59,30.28,26.96,38.05,20.50,36.65,33.63,37.39,25.77,39.31,,
Calc annual,37.59,30.28,26.96,38.05,20.50,36.65,33.63,37.39,25.77,39.31,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
