ST MARKS (BALLAHOWIN),,,,,,,,,,
Grid ref,SC311752,Long,-4.5873521,Lat,54.144783,Elevation,380,ft,,
Station no,4414/4,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,6.86,3.38,4,4.5,2.28,,,,,
February,2.75,0.2,4.7,0.4,4.33,,,,,
March,1.37,2,3.35,3.68,1.5,,,,,
April,1.5,3.5,2.5,3.1,4.2,,,,,
May,4.15,3.7,2.5,3.26,1.12,,,,,
June,5.86,2.75,2,3,3.5,,,,,
July,3.12,3,3,0.85,1.5,,,,,
August,5.02,4.17,1.34,4.25,1.5,,,,,
September,3.95,5.07,1.2,4.8,5.75,,,,,
October,3,6.56,4.9,6.25,4.42,,,,,
November,11.66,2.75,2.2,2.5,5.5,,,,,
December,3.7,6.16,2.85,11.73,4.07,,,,,
Total,52.94,43.24,34.54,48.32,39.67,,,,,
,,,,,,,,,,
1934 arithmetic incorrect on record,,,,,,,,,,
