"AYNSOME, NEWTON IN CARTMEL",,,,,,,,,,,,,,,,,,,,
Grid ref,SD386794,Long,-2.9428484,Lat,54.206648,Elevation,60,ft,,,,,,,,,,,,
Station no,RR1852,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,4.75,0.61,3.9,4.6,2.5,5.13,6.55,3.7,4.8,5.6,3.9,4.5,,,,
February,,,,,2.9,1.83,5.51,3.8,0.3,3.12,2.5,6,0.5,2.2,4.5,4.3,,,,
March,,,,,2.5,3.23,0.4,3.3,2.62,4.65,5.1,6.5,5.8,1.3,4.5,2.2,,,,
April,,,,,0.7,1.15,2.14,1.95,2.71,4.12,1.4,1,4.5,2.2,2.3,1,,,,
May,,,,,3,1.56,2.3,3.22,2,0.1,3.6,1.3,4.3,3.6,2.5,5.6,,,,
June,,,,,3.69,3.88,5.6,4.1,1.2,2.26,6.43,2.5,4.1,4.5,4.4,0.6,,,,
July,,,,,3,3.19,2.58,3.2,4.68,1.77,1.4,5.4,4.4,1,3.8,2.5,,,,
August,,,,,4.4,4.42,5.37,3,2.75,5,6.4,8.4,4,4.3,4,5.9,,,,
September,,,,,2.91,1.54,3.12,3.5,5.68,6.9,2.4,6.1,2.3,6.7,4.7,2,,,,
October,,,,,4.4,7,2.01,2.71,5.32,3.04,8.31,4.1,10.2,6,3.4,6.6,,,,
November,,,,,3.55,2.49,1.82,2.15,2.7,3.97,3.51,8.6,2.2,5.8,4.6,4,,,,
December,,,,,7.22,2.22,5.18,2.5,4.12,4.23,4.7,2.9,5.8,4,6.1,3.1,,,,
Total,,,,,43.02,33.12,39.93,38.03,36.58,44.29,52.3,56.5,52.9,47.2,48.7,42.3,,,,
,,,,,,,,,,,,,,,,,,,,
NGR for the Meteorological Station of Aynsome Laboratories although these not established until 1898; farm and big house of the name on the site previously,,,,,,,,,,,,,,,,,,,,
