"BALTASOUND",,,,,,,,,,,,
Grid ref,HP625092,Long,-0.854876,Lat,60.760990,,,,,,,
Station no,5834,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,4.84,4.95,4.44,4.40,3.83,,
February,,,,,,5.12,5.30,3.72,4.04,1.50,,
March,,,,,3.04,2.58,3.50,3.66,3.15,3.08,,
April,,,,,3.99,3.21,2.78,2.25,1.82,2.33,,
May,,,,,2.45,1.93,5.08,1.42,1.81,1.80,,
June,,,,,1.84,1.35,1.53,2.60,2.43,1.53,,
July,,,,,1.01,2.85,3.37,1.07,1.83,3.68,,
August,,,,,2.08,3.49,2.36,4.01,1.84,2.13,,
September,,,,,2.05,1.90,3.15,2.81,3.35,1.60,,
October,,,,,4.96,4.53,5.21,3.50,1.17,5.28,,
November,,,,,4.58,5.09,3.74,5.53,5.13,3.88,,
December,,,,,5.76,3.39,5.37,3.22,5.18,5.38,,
Total,,,,,44.80,40.28,46.34,38.23,36.15,36.02,,
Calc annual,0.00,0.00,0.00,0.00,31.76,40.28,46.34,38.23,36.15,36.02,,
Difference,NaN,NaN,NaN,NaN,13.04,0.00,0.00,0.00,-0.00,0.00,,
