SOWERBY-BRIDGE-BROCKWELL-TRIANGLE,,,,,,,,,,,,,,,,,,,,
Grid ref,SE049228,Long,-1.9272566,Lat,53.701612,Elevation,500,ft.,,,,,,,,,,,,
Station no,RR7665,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,6.22,2.98,3.68,5.04,4.63,2.48,5.75,2.04,3.71,3.08,6.27,2.4,6.13,4.26,4.03,7.45,4.05,2.59,,
February,4.46,1.86,1.3,5.65,5.22,2.27,4.16,2.98,3.75,1.98,4.07,5.54,2.14,2.25,3.81,5.15,7.1,0.74,,
March,1.19,4.38,2.41,7.32,2.63,4.08,3.86,3.92,3.78,3.86,0.93,1.72,4.94,6.93,5.54,1.19,4.2,3.5,,
April,2.39,2.34,2.46,2,2.73,2.92,1.54,3.16,2.21,3.88,3.96,2.44,1.3,5.54,1.48,1.69,2.92,3.13,,
May,1.62,1.39,2.85,3.89,3.39,0.56,3.39,3.94,1.95,2.43,2.75,1.82,2.88,2.63,2.2,2.02,2.83,1.83,,
June,3.1,1.14,1.45,1.11,0.45,2.73,1.46,6.18,1.75,1.52,3.58,2.96,7,2.23,2.07,1.14,2.37,1.98,,
July,2.48,1.71,2.02,2.67,2.82,2.35,1.6,2.23,3.64,4.91,3.25,0.29,5.96,1.1,3.3,4.95,1.9,1.65,,
August,6.02,2.14,3.6,5.46,5.29,5.23,3.47,3.11,3.24,2.89,4.84,2.29,7.2,1.54,1.94,5.48,2.39,7.4,,
September,1.08,1.43,1.97,4,0.99,2.42,1.09,0.62,2.85,2.93,0.2,3.27,1.99,1.6,2.97,0.9,1.98,1.48,,
October,5.79,2.54,3.74,11.1,1.36,3.46,6.89,5.8,2.27,5.22,3.67,3.44,5.1,2.43,3.03,1.75,8.93,6.39,,
November,3.98,6.16,2.65,2.79,3.03,1.98,5.05,3.28,3.3,1.63,5.65,5.17,4.7,6.99,6.27,3.65,4.26,4.15,,
December,5.53,7.65,4.91,2.7,2.65,2.84,4.03,4.55,2.78,6.98,4.45,6.19,5.84,4.47,8.42,8.31,3.42,2.45,,
Total,43.86,35.72,33.04,53.73,35.19,33.32,42.29,41.81,35.23,41.31,43.62,37.53,55.18,41.97,45.06,43.68,46.35,37.29,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Brockwell House, which fits the relationships to the church and stations. Altitudes match.",,,,,,,,,,,,,,,,,,,,
The 1910s record has a faint Mill Ho by the name and there is a disused mill at Brockwell House.,,,,,,,,,,,,,,,,,,,,
