ARISAIG (LARRACHMHOR),,,,,,,,,,
Grid ref,NM6716986618,Long,-5.8264,Lat,56.9122,Elevation,12,ft,,
Station no,5721/5,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,5.9,7.33,5.43,6.98,3.32,5.84,10.34,
February,,,6.53,2.81,6.05,5.2,0,5.12,7.19,
March,,,3.94,3.14,5.23,4.05,1.59,5.57,4.4,
April,,,6.43,3.67,3.06,3.59,,4.02,7.64,
May,,,4.69,6.8,2.96,0.45,,1.76,3.32,
June,,,5.87,5.06,6.17,7.37,,4.18,2.74,
July,,,4.02,2.37,3.94,7.5,,5.91,2.87,
August,,,5.43,3.35,2.91,5.79,,6.53,9.8,
September,,,6.17,5.91,6.6,5.95,,9.29,5.2,
October,,,12.39,8.55,5,0.86,,8.57,9.65,
November,,,6.84,6.11,0.73,5.76,,6.82,8.37,
December,,,4.95,6.74,4.59,5.55,,7.16,9.97,
Total,,,73.16,61.84,52.67,59.05,,70.77,81.49,
,,,,,,,,,,
Station no,5721/5,,,,,,,,,
Midas,14080,,,,,,,,,
Hyd No ,704010,,,,,,,,,
