Rainfall at,FELINDRE, LOWER LLIW RESERVOIR
,
Station no,4033,
,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,5.20,7.10,4.57,6.82,5.62,3.35,2.44,
February,,2.15,,7.04,5.38,5.35,1.40,1.43,1.11,3.43,
March,,5.32,,1.54,5.78,2.91,6.87,2.81,4.81,3.50,
April,,,7.12,1.42,2.23,5.00,3.67,1.39,2.22,2.73,
May,,,2.07,2.07,3.05,4.44,5.27,2.41,2.99,2.54,
June,,,4.36,4.58,3.67,6.78,1.20,0.84,5.00,0.34,
July,,,7.34,4.53,5.27,2.62,6.52,3.11,7.71,4.17,
August,,,5.38,2.22,3.66,2.56,2.68,2.41,5.14,4.42,
September,,,4.91,8.55,4.09,9.28,6.10,4.14,2.77,2.76,
October,,,8.43,5.89,3.77,6.20,9.47,4.03,2.65,5.19,
November,,,7.77,6.88,3.20,7.06,6.89,4.98,9.61,3.06,
December,,,6.12,3.16,8.57,2.59,6.11,3.79,6.46,5.17,
Total,63.03,51.00,64.06,53.08,55.77,59.36,63.00,36.96,53.82,39.75,
Calc annual,0.00,7.47,53.50,53.08,55.77,59.36,63.00,36.96,53.82,39.75,
Difference,63.03,43.53,10.56,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,
