STOCKPORT HEATON MOOR - observer J P Lynill then Dr Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ878918,Long,-2.185049,Lat,53.422853,Elevation,236,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,1.55,0.68,0.46,2.64,3.79,4.14,1.59,4.42,1.77,1.42,1.21,3.3,2.37,,,,,,,,
February,,,,,,,,,,2.79,2.16,4.81,2.58,1.78,1.85,2.37,0.73,0.92,1.34,1.89,0.46,0.29,,,,,,,,
March,,,,,,,,,,1.33,2.43,4.06,2,1.09,2.1,2.1,2.38,1.42,1.83,3.24,2.79,1.63,,,,,,,,
April,,,,,,,,,,1.92,1.49,1.51,3.77,1.71,0.9,1.29,1.86,1.25,1.75,2.33,0.75,1.81,,,,,,,,
May,,,,,,,,,,2.1,2.57,3.52,1.7,1.25,1.55,2.16,4.92,2.37,0.79,2.19,2.61,3.01,,,,,,,,
June,,,,,,,,,,4.5,2.6,2.34,6.88,5.18,0.74,3.5,1.78,1.07,2.93,0.67,3.67,2.67,,,,,,,,
July,,,,,,,,,,3.25,7.02,2.48,4.66,3.16,4.13,1.17,3.25,0.85,6.1,2.86,2.97,2.54,,,,,,,,
August,,,,,,,,,,5.39,3.2,4.74,2.95,2.71,1.76,1.76,1.6,1.31,3.15,6.14,3.71,5.31,,,,,,,,
September,,,,,,,,,,2.2,4.58,2.64,2.34,4.66,2.66,4.14,3.19,3.84,1.45,2.64,1.14,3.24,,,,,,,,
October,,,,,,,,,,2.4,2.77,2.51,3.15,4.57,2.36,5.67,5.43,2.15,1.53,3.18,2.24,4.57,,,,,,,,
November,,,,,,,,,,1.18,3.68,3.41,5.26,3.17,1.81,2.56,2.3,1.15,4.56,2.1,4.57,2.19,,,,,,,,
December,,,,,,,,,,2.32,5.42,3.75,4.71,2.47,3.47,2.01,4.44,2.62,2.07,2.16,0.57,4.94,,,,,,,,
Total,,,,,,,,,,30.93,38.6,36.23,42.64,35.54,27.47,30.32,36.3,20.72,28.92,30.61,28.78,34.57,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved 400yds in Sept 1885 when Dr Jordan took over recording,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
