LIVERPOOL OBSERVER Dr Dobson,,,,,,,,,,,,,,,,,,,,
Grdi ref,SJ357905,Long,-2.9674,Lat,53.408,Elevation,152,ft,,,,,,,,,,,,
Station no,RR354,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789
January,,,3.26,3.15,4.43,3.21,,,,,,,,,,,,,,
February,,,2.35,2.37,2.42,4.62,,,,,,,,,,,,,,
March,,,1.62,0.65,1.38,2.45,,,,,,,,,,,,,,
April,,,1.85,2.47,2.23,1.01,,,,,,,,,,,,,,
May,,,3.42,4.56,1.65,0.85,,,,,,,,,,,,,,
June,,,3.12,1.42,3.26,2.12,,,,,,,,,,,,,,
July,,,1.59,1.32,2.68,5.31,,,,,,,,,,,,,,
August,,,3.65,2.21,2.36,4.26,,,,,,,,,,,,,,
September,,,6.05,6.55,5.52,4,,,,,,,,,,,,,,
October,,,3.42,4.57,1.68,7.01,,,,,,,,,,,,,,
November,,,4.85,6.69,2.69,3.03,,,,,,,,,,,,,,
December,,,2.21,4.32,1.63,3.35,,,,,,,,,,,,,,
Total,,,37.39,40.28,31.93,41.22,,,,,,,,,36,26.25,26.5,37.25,24.13,48.25
,,,,,,,,,,,,,,,,,,,,
TYRain_1677-1886_A_pt1-page-173.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1677-1886_A_pt1-page-177.csv from Total book,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Dr Matthew Dobson, initial observer, lived in Harrington St and was physician at the Liverpool Infirmary then on Pembroke Place",,,,,,,,,,,,,,,,,,,,
NGR given for Infirmary,,,,,,,,,,,,,,,,,,,,
