"AYLESBURY (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SP805141,Long,-0.833499,Lat,51.819737,,,,,,,
Station no,990,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.80,0.85,1.22,0.55,,
February,,,,,,,1.35,0.81,0.46,0.39,,
March,,,,,,,1.16,0.89,2.37,2.03,,
April,,,,,,,0.48,2.20,3.06,1.14,,
May,,,,,,,1.19,1.84,1.15,1.70,,
June,,,,,,,2.65,1.97,1.24,3.70,,
July,,,,,,,0.19,2.76,2.16,2.19,,
August,,,,,,,1.04,1.70,1.69,2.87,,
September,,,,,,,1.38,0.35,1.23,1.51,,
October,,,,,,,3.78,4.10,1.46,2.92,,
November,,,,,,,2.50,1.75,0.82,0.56,,
December,,,,,,,1.51,3.06,1.13,1.94,,
Total,,,,,,,21.03,22.28,17.99,21.50,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,21.03,22.28,17.99,21.50,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
