"DRAYTON",,,,,,,,,,,,
Grid ref,TG201131,Long,1.253905,Lat,52.670888,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.51,5.23,1.56,1.15,0.61,,
February,,,,,,1.97,3.53,1.98,2.29,0.61,,
March,,,,,,2.15,2.57,1.81,2.84,3.22,,
April,,,,,,2.10,0.77,4.36,2.89,1.03,,
May,,,,,,1.28,3.59,2.98,1.71,1.09,,
June,,,,,,3.38,2.43,2.40,1.15,3.13,,
July,,,,,,1.27,1.51,1.53,4.08,3.18,,
August,,,,,,3.18,1.59,1.47,2.54,2.75,,
September,,,,,,2.65,1.34,0.75,1.40,1.54,,
October,,,,,,4.69,3.38,3.56,1.22,3.73,,
November,,,,,,3.09,5.17,3.25,1.31,1.28,,
December,,,,,,1.30,2.82,3.23,1.36,4.87,,
Total,,,,,,28.57,33.93,28.88,23.94,27.04,,
Calc annual,0.00,0.00,0.00,0.00,0.00,28.57,33.93,28.88,23.94,27.04,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,,
