"GALWAY QUEENS COLLEGE",,,,,,,,,,,,
Grid ref,IM2923625926,Long,-9.061737,Lat,53.279155,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.21,3.13,4.30,5.39,3.63,2.81,6.92,1.24,3.99,1.86,,
February,,0.97,2.34,5.04,4.94,2.10,3.82,2.63,2.01,1.22,,
March,0.50,3.52,2.47,6.50,2.83,4.80,2.85,4.02,2.28,1.81,,
April,2.55,3.26,2.22,1.88,1.78,1.78,1.71,2.36,1.10,3.57,,
May,3.51,2.29,1.71,1.83,0.99,1.38,4.76,4.09,2.31,1.18,,
June,,3.25,1.80,1.03,1.75,2.23,3.02,4.43,1.34,1.24,,
July,,1.56,1.94,4.46,5.55,1.42,2.91,1.82,1.74,2.22,,
August,,4.50,2.11,8.60,3.81,4.76,3.20,4.83,3.11,1.39,,
September,,5.68,2.32,4.86,3.22,1.47,1.90,2.02,3.59,2.71,,
October,,4.15,2.31,6.32,3.59,1.66,4.10,5.28,0.69,5.18,,
November,,5.03,4.71,3.15,2.78,2.72,2.25,3.22,2.23,2.28,,
December,,3.82,3.67,3.59,3.78,1.98,3.81,5.40,3.04,4.18,,
Total,,41.16,31.90,52.65,38.65,29.11,41.25,41.34,27.43,28.84,,
Calc annual,12.77,41.16,31.90,52.65,38.65,29.11,41.25,41.34,27.43,28.84,,
Difference,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
