"BEINN BREAC NO 7",,,,,,,,,,,,
Grid ref,NO058968,Long,-3.554525,Lat,57.052601,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,4.90,9.30,3.80,2.40,4.80,3.60,,,,
February,,,2.30,7.30,3.10,3.05,3.40,4.70,,,,
March,,,4.00,8.10,1.90,7.30,4.40,4.20,,,,
April,,,3.80,3.90,4.50,3.05,1.80,5.80,,,,
May,,,4.80,2.60,2.60,3.00,6.20,4.20,,,,
June,,,5.20,2.30,1.70,2.40,2.20,5.50,,,,
July,,,4.10,4.80,2.15,2.30,2.60,2.90,,,,
August,,,3.40,4.50,5.20,4.80,4.30,7.30,,,,
September,,,3.30,4.10,2.60,3.80,1.90,1.60,,,,
October,,,5.10,7.80,2.70,5.10,6.50,4.80,,,,
November,,,4.90,4.30,2.20,7.50,7.90,3.30,3.40,,,
December,,,7.80,3.40,3.30,3.20,4.50,3.10,2.40,,,
Total,,,53.60,62.40,35.75,47.90,50.50,51.00,,,,
Calc annual,0.00,0.00,53.60,62.40,35.75,47.90,50.50,51.00,5.80,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,,
