"BIRMINGHAM W.W. (CLAERDDU)",,,,,,,,,,,,
Grid ref,SN792686,Long,-3.773031,Lat,52.302194,,,,,,,
Station no,4137,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,6.05,5.20,,
February,,,,,,,,,6.40,2.65,,
March,,,,,,,,,5.40,5.00,,
April,,,,,,,,,3.15,6.50,,
May,,,,,,,,,4.70,2.80,,
June,,,,,,,,,2.65,2.80,,
July,,,,,,,,,8.00,8.75,,
August,,,,,,,,,6.80,4.60,,
September,,,,,,,,,6.70,7.70,,
October,,,,,,,,,1.55,11.20,,
November,,,,,,,,,3.70,3.85,,
December,,,,,,,,,7.30,8.00,,
Total,,,,,,,,,62.40,69.05,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.40,69.05,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
