"WALSDEN WHITEHOLME",,,,,,,,,,,,
Grid ref,SD969194,Long,-2.048398,Lat,53.671064,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.81,4.70,3.75,1.84,5.55,1.85,4.05,2.88,,
February,,,1.68,3.84,3.45,1.67,2.98,2.02,2.75,2.05,,
March,,,1.84,6.09,2.50,3.48,3.72,3.92,2.88,2.73,,
April,,,2.09,1.65,3.00,2.62,1.58,2.24,1.75,3.95,,
May,,,2.68,4.41,2.45,1.26,2.88,3.41,2.70,2.42,,
June,,,1.51,1.31,1.78,2.48,2.50,7.40,2.24,2.48,,
July,,,2.15,4.79,1.90,2.77,2.81,2.80,4.55,6.10,,
August,,,4.38,5.75,5.34,6.12,4.70,4.30,3.55,3.45,,
September,,,2.32,5.85,1.12,2.63,1.28,1.08,4.12,2.65,,
October,,,4.99,9.78,2.74,3.59,7.11,5.32,2.65,5.98,,
November,,,2.20,3.00,2.75,4.00,4.76,3.60,2.78,1.31,,
December,,,4.24,2.35,2.85,1.40,2.30,4.55,2.45,6.90,,
Total,,,32.89,53.52,33.63,33.86,42.17,42.49,36.47,42.90,,
Calc annual,0.00,0.00,32.89,53.52,33.63,33.86,42.17,42.49,36.47,42.90,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
