"DALBEATTIE KIRKENNAN",,,,,,,,,,,,
Grid ref,NX826580,Long,-3.832438,Lat,54.902881,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,6.14,4.08,1.95,4.81,2.39,5.35,4.19,,
February,,,,4.91,3.09,2.62,3.61,3.85,3.67,2.07,,
March,,,,8.72,3.72,4.52,3.06,4.66,4.67,4.86,,
April,,,,1.31,3.65,4.03,0.78,3.19,2.48,3.95,,
May,,,,3.34,3.21,3.11,6.85,4.31,3.32,3.19,,
June,,,,2.98,1.92,2.77,1.77,7.17,3.17,3.30,,
July,,,,4.40,3.68,1.49,2.48,2.63,3.82,4.99,,
August,,,,5.78,6.01,4.30,6.70,6.01,4.79,2.07,,
September,,,,4.22,3.99,1.89,1.47,1.43,5.34,2.43,,
October,,,,10.46,3.56,3.36,6.91,8.34,2.48,10.85,,
November,,,,3.79,3.80,5.09,4.24,4.31,2.70,1.64,,
December,,,,4.32,4.06,3.71,4.02,6.26,5.99,8.29,,
Total,,,,60.37,44.77,38.84,46.70,54.55,47.78,51.83,,
Calc annual,0.00,0.00,0.00,60.37,44.77,38.84,46.70,54.55,47.78,51.83,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
