"OVER DARWEN HODDLESDEN NO 2",,,,,,,,,,,,
Grid ref,SD718227,Long,-2.428609,Lat,53.699968,,,,,,,
Station no,2944,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,5.46,2.44,7.14,2.01,4.18,3.09,,
February,,,,,5.35,3.06,4.98,2.44,4.57,3.16,,
March,,,,,3.19,4.14,4.06,4.37,4.10,3.57,,
April,,,,,3.96,4.33,2.27,2.41,2.78,4.32,,
May,,,,,2.89,0.73,4.50,4.65,3.48,2.97,,
June,,,,,1.72,4.04,1.28,9.35,2.27,3.54,,
July,,,,,1.72,2.89,2.43,3.03,5.15,7.50,,
August,,,,,4.71,5.17,4.53,5.33,4.58,4.25,,
September,,,,,1.62,3.37,1.72,1.41,4.97,3.11,,
October,,,,,3.50,4.41,7.94,4.65,2.29,8.11,,
November,,,,,4.48,6.30,5.11,3.41,4.16,1.99,,
December,,,,,4.13,1.21,5.17,5.84,3.42,7.30,,
Total,,,,,42.73,42.09,51.13,48.90,45.95,52.91,,
Calc annual,0.00,0.00,0.00,0.00,42.73,42.09,51.13,48.90,45.95,52.91,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,,
