"HARROGATE HARLOW HILL RESERVOIR NO.1",,,,,,,,,,,,
Grid ref,SE287542,Long,-1.563841,Lat,53.983063,,,,,,,
Station no,3358,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.08,1.31,1.04,,
February,,,,,,,,1.49,1.43,0.57,,
March,,,,,,,,2.22,3.29,3.16,,
April,,,,,,,,1.19,2.43,2.90,,
May,,,,,,,,4.54,2.77,1.78,,
June,,,,,,,,3.24,0.98,3.30,,
July,,,,,,,,2.07,2.82,3.56,,
August,,,,,,,,1.85,1.75,3.34,,
September,,,,,,,,0.99,2.66,1.53,,
October,,,,,,,,7.04,1.84,2.42,,
November,,,,,,,,2.74,1.52,0.85,,
December,,,,,,,,3.29,1.18,3.90,,
Total,,,,,,,,31.74,23.98,28.35,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.74,23.98,28.35,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
