"NEWCASTLE & GATESHEAD W.W. HALLINGTON CHEVIOT",,,,,,,,,,,,
Grid ref,NY978766,Long,-2.035999,Lat,55.083839,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,3.01,1.58,0.53,2.58,0.76,1.74,1.11,,
February,,,,2.42,2.14,0.71,0.98,1.16,1.08,2.67,,
March,,,,1.55,1.53,1.91,1.30,1.12,3.85,4.26,,
April,,,,1.07,1.80,4.11,0.95,1.92,1.57,3.20,,
May,,,,1.86,2.53,1.09,3.49,3.41,2.61,1.78,,
June,,,,2.01,1.93,1.10,1.71,3.85,0.34,2.12,,
July,,,,4.53,2.25,1.52,2.01,1.25,2.84,2.65,,
August,,,,2.65,2.85,4.04,4.68,2.72,2.19,2.35,,
September,,,,3.22,1.19,1.76,1.01,0.63,2.65,1.60,,
October,,,,7.43,0.85,2.28,4.39,6.04,2.81,2.74,,
November,,,,1.49,2.19,4.40,3.98,1.71,1.36,0.46,,
December,,,,2.12,2.04,1.15,1.27,2.96,0.94,3.65,,
Total,,,,33.36,22.88,24.60,28.35,27.53,23.98,28.59,,
Calc annual,0.00,0.00,0.00,33.36,22.88,24.60,28.35,27.53,23.98,28.59,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
