"HALBERTON",,,,,,,,,,,,
Grid ref,ST005124,Long,-3.416387,Lat,50.902472,,,,,,,
Station no,1790/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,6.55,1.54,1.37,1.78,,
February,,,,,,,3.67,1.84,2.11,0.49,,
March,,,,,,,2.13,0.78,3.34,5.31,,
April,,,,,,2.59,0.86,5.02,2.81,2.49,,
May,,,,,,0.58,2.50,2.55,1.68,1.34,,
June,,,,,,3.41,1.17,2.74,0.74,2.94,,
July,,,,,,1.06,0.48,1.79,1.57,2.56,,
August,,,,,,4.33,1.93,2.20,2.69,1.78,,
September,,,,,,1.87,1.03,0.71,3.44,2.30,,
October,,,,,,1.56,5.29,6.46,3.33,6.01,,
November,,,,,,4.19,4.09,2.38,1.50,1.23,,
December,,,,,,1.30,2.66,5.42,4.04,5.54,,
Total,,,,,,,32.36,33.43,28.62,33.77,,
Calc annual,0.00,0.00,0.00,0.00,0.00,20.89,32.36,33.43,28.62,33.77,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
