"HAYFIELD TURNSTEAD CLOUGH",,,,,,,,,,,,
Grid ref,SK056867,Long,-1.917286,Lat,53.377126,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.91,2.73,3.33,2.22,5.05,1.37,2.47,1.56,,
February,,,1.62,2.93,4.46,2.06,3.13,1.70,3.28,2.55,,
March,,,2.76,4.51,2.37,3.72,2.78,2.89,3.21,2.79,,
April,,,2.44,2.46,1.97,2.73,2.11,2.16,2.89,2.47,,
May,,,3.77,2.40,2.65,1.01,4.81,3.88,3.02,2.30,,
June,,,2.12,1.36,1.18,2.56,1.83,5.57,1.77,3.28,,
July,,,2.53,3.39,2.16,2.21,2.08,2.92,3.85,4.95,,
August,,,4.04,4.51,4.73,4.57,3.53,4.34,2.73,3.02,,
September,,,1.28,5.07,1.54,2.56,1.69,0.66,3.05,3.00,,
October,,,4.93,8.20,1.18,3.41,6.03,5.44,1.08,4.94,,
November,,,2.29,3.59,2.96,5.05,3.86,2.90,2.76,1.41,,
December,,,3.17,2.19,2.12,0.65,3.31,2.62,2.68,7.65,,
Total,,,33.86,43.34,30.65,32.75,40.21,36.45,32.79,39.92,,
Calc annual,0.00,0.00,33.86,43.34,30.65,32.75,40.21,36.45,32.79,39.92,,
Difference,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
