"HIND HAYES STREET",,,,,,,,,,,,
Grid ref,ST478362,Long,-2.747242,Lat,51.122693,,,,,,,
Station no,37377,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.98,0.86,1.16,,
February,,,,,,,,1.38,1.14,0.46,,
March,,,,,,,,0.56,2.83,2.85,,
April,,,,,,,,4.28,2.12,2.63,,
May,,,,,,,,2.47,1.48,0.73,,
June,,,,,,,,2.00,0.59,2.75,,
July,,,,,,,,1.76,1.87,2.36,,
August,,,,,,,,2.76,2.82,1.92,,
September,,,,,,,,0.64,2.60,2.30,,
October,,,,,,,,5.23,1.78,4.84,,
November,,,,,,,,2.77,0.95,0.58,,
December,,,,,,,1.74,4.31,3.13,4.03,,
Total,,,,,,,,29.14,22.17,26.61,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,1.74,29.14,22.17,26.61,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
