"HAYFIELD MILL HILL",,,,,,,,,,,,
Grid ref,SK064901,Long,-1.905193,Lat,53.407678,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,3.70,2.90,3.40,3.45,5.45,1.93,4.20,1.85,,
February,,,0.98,3.90,3.60,2.33,2.70,2.20,4.16,3.70,,
March,,,2.88,4.98,1.98,4.20,3.50,3.80,3.22,3.22,,
April,,,2.40,2.85,2.95,3.40,2.23,2.68,2.50,2.84,,
May,,,3.95,2.99,3.34,1.13,4.40,4.54,3.50,2.15,,
June,,,2.00,1.50,1.43,2.97,2.05,7.97,2.03,4.02,,
July,,,3.25,4.52,2.30,3.25,3.45,3.44,5.00,7.55,,
August,,,4.20,6.05,5.08,4.98,5.12,5.82,3.72,3.88,,
September,,,1.43,5.57,1.86,3.70,2.35,0.98,4.40,3.90,,
October,,,6.40,10.00,2.30,4.90,6.55,6.50,1.10,6.52,,
November,,,2.47,5.33,3.93,4.90,5.66,4.07,4.25,2.20,,
December,,,3.68,1.86,2.98,1.00,4.19,3.41,3.30,6.50,,
Total,,,37.34,52.45,35.15,40.21,47.65,47.34,41.38,48.33,,
Calc annual,0.00,0.00,37.34,52.45,35.15,40.21,47.65,47.34,41.38,48.33,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
