"VENTNOR CONSUMPTION HOSPITAL",,,,,,,,,,,,
Grid ref,SZ547769,Long,-1.228640,Lat,50.589277,,,,,,,
Station no,592,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.21,1.00,1.12,2.65,3.75,1.14,6.22,1.00,0.93,1.09,,
February,5.27,1.42,1.73,1.65,3.88,0.77,3.21,1.16,1.21,0.38,,
March,1.43,2.85,2.17,2.63,1.71,4.45,1.63,0.50,2.56,3.96,,
April,1.17,2.79,1.31,3.04,1.27,2.16,1.25,3.90,2.37,1.45,,
May,1.32,0.62,2.11,2.21,4.23,0.41,2.61,2.48,1.47,1.41,,
June,2.88,1.59,2.59,3.07,0.76,4.18,1.58,1.51,0.56,3.10,,
July,0.80,3.86,1.30,2.45,0.95,0.28,1.31,1.12,1.52,2.11,,
August,2.12,1.58,4.34,4.24,2.81,2.69,0.35,1.05,2.18,2.75,,
September,0.83,2.55,1.15,3.96,2.58,3.42,2.40,0.92,1.77,4.93,,
October,2.33,3.05,2.50,7.74,2.52,2.62,4.26,5.88,1.65,7.95,,
November,3.33,0.54,3.11,1.85,1.72,4.82,5.07,2.21,1.37,1.56,,
December,3.68,3.50,1.94,2.22,3.60,0.61,2.04,2.49,3.80,4.08,,
Total,30.37,25.35,25.37,37.71,29.78,27.55,31.93,24.22,21.39,34.77,,
Calc annual,30.37,25.35,25.37,37.71,29.78,27.55,31.93,24.22,21.39,34.77,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
