"MUKER GUNNERSIDE LODGE",,,,,,,,,,,,
Grid ref,SD935981,Long,-2.101574,Lat,54.378357,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,3.00,4.85,4.28,,
February,,,,,,,,4.60,5.52,2.46,,
March,,,,,,,,5.35,6.75,5.20,,
April,,,,,,,,2.40,3.54,3.63,,
May,,,,,,,,5.55,3.45,-999.00,,
June,,,,,,,,5.95,2.87,4.20,,
July,,,,,,,,3.30,5.75,3.45,,
August,,,,,,,,2.79,4.50,3.88,,
September,,,,,,,,0.65,4.85,2.78,,
October,,,,,,,,6.78,3.05,6.00,,
November,,,,,,,,3.45,3.50,2.24,,
December,,,,,,,,7.15,3.13,7.20,,
Total,,,,,,,,50.97,51.76,47.97,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.97,51.76,45.32,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,2.65,,
