"LINCOLN ST BOTOLPHS",,,,,,,,,,,,
Grid ref,SK972703,Long,-0.545656,Lat,53.220870,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.21,0.62,1.41,1.74,2.11,0.85,3.09,0.81,,1.53,,
February,3.58,1.83,1.39,0.37,3.05,0.53,2.61,1.59,,0.62,,
March,0.70,2.17,1.35,3.43,1.78,1.68,1.86,1.38,,3.40,,
April,1.07,1.29,1.84,1.41,0.92,1.59,0.84,1.87,,1.77,,
May,1.62,0.93,2.60,2.57,2.37,0.55,1.91,3.30,,0.89,,
June,2.76,1.33,2.29,0.78,0.36,2.79,2.04,2.74,,3.11,,
July,1.01,2.72,1.41,2.33,2.46,0.93,0.60,2.12,,4.23,,
August,5.27,1.81,3.29,4.29,2.81,3.45,2.55,2.77,,4.40,,
September,0.69,0.66,0.91,3.31,1.58,2.33,1.80,0.20,,1.66,,
October,2.19,1.16,2.28,5.43,0.28,1.73,4.83,6.04,,2.58,,
November,1.77,2.15,1.71,1.82,0.76,2.55,2.79,2.32,,0.27,,
December,3.22,4.46,1.75,0.75,1.59,0.54,1.84,2.18,,4.23,,
Total,27.09,21.13,22.23,28.23,20.07,19.52,26.76,27.32,,28.69,,
Calc annual,27.09,21.13,22.23,28.23,20.07,19.52,26.76,27.32,0.00,28.69,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,-0.00,,
