"COULTER WATERHEAD",,,,,,,,,,,,
Grid ref,NT037275,Long,-3.527245,Lat,55.531695,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,6.33,4.46,2.54,6.52,1.23,3.50,3.03,,
February,,,,8.64,3.26,2.73,2.85,2.52,3.75,1.79,,
March,,,,10.65,3.44,7.56,2.84,3.40,6.45,5.13,,
April,,,,1.22,5.18,4.07,2.33,2.60,2.20,4.50,,
May,,,,3.38,3.79,2.12,7.16,4.40,3.00,3.05,,
June,,,,1.81,3.34,1.64,2.54,4.56,2.76,4.21,,
July,,,,4.10,4.15,3.31,3.13,4.52,2.89,4.05,,
August,,,,6.56,4.71,4.44,8.89,5.60,3.31,4.50,,
September,,,,3.25,2.90,2.99,0.88,1.06,6.88,3.72,,
October,,,,10.98,2.68,3.71,7.22,10.35,1.42,9.68,,
November,,,,4.10,2.35,5.24,4.39,4.28,3.48,2.72,,
December,,,,4.65,3.95,3.95,2.84,4.66,3.25,4.97,,
Total,,,,65.67,44.21,44.30,51.59,49.18,42.89,51.35,,
Calc annual,0.00,0.00,0.00,65.67,44.21,44.30,51.59,49.18,42.89,51.35,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
