"GLASGOW BELLAHOUSTON PARK",,,,,,,,,,,,
Grid ref,NS551638,Long,-4.315831,Lat,55.845578,,,,,,,
Station no,5207,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.25,2.39,2.99,6.35,3.53,,4.01,2.05,3.59,3.68,,
February,2.60,1.67,1.47,5.87,1.96,,1.89,2.04,2.10,1.44,,
March,0.30,2.10,2.21,6.04,1.44,,3.16,3.78,3.31,2.26,,
April,1.95,2.64,0.84,1.25,3.81,,0.89,1.72,1.10,3.32,,
May,2.07,2.05,2.33,2.48,2.88,,4.22,3.57,3.34,2.14,,
June,3.48,3.33,2.04,1.53,1.67,,1.20,4.05,2.66,3.40,,
July,3.01,2.35,2.23,3.33,2.59,2.29,2.18,3.00,2.04,3.39,,
August,4.21,3.08,2.35,5.58,3.41,3.54,5.18,4.39,2.18,2.49,,
September,3.61,2.47,3.11,4.18,3.52,2.25,1.49,1.23,4.02,1.66,,
October,4.74,3.45,1.53,7.50,1.76,1.95,4.75,6.31,1.80,4.59,,
November,6.02,2.54,1.92,2.75,1.88,2.54,3.92,2.07,2.33,1.78,,
December,6.43,4.11,3.82,2.75,3.06,2.93,3.02,4.91,2.31,3.79,,
Total,42.67,32.18,26.84,49.61,31.51,,35.91,39.12,30.78,33.94,,
Calc annual,42.67,32.18,26.84,49.61,31.51,15.50,35.91,39.12,30.78,33.94,,
Difference,0.00,0.00,-0.00,0.00,0.00,NaN,0.00,-0.00,0.00,0.00,,
