"MANCHESTER GODLEE OBSERVATORY",,,,,,,,,,,,
Grid ref,SJ844977,Long,-2.236506,Lat,53.475794,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.24,1.39,2.32,1.68,,
February,,,,,,,3.30,1.64,2.72,1.26,,
March,,,,,,,2.74,2.88,2.34,2.95,,
April,,,,,,,1.71,1.03,2.38,3.00,,
May,,,,,,,3.12,3.69,2.23,1.56,,
June,,,,,,2.33,1.52,5.68,1.80,2.04,,
July,,,,,,2.49,1.59,3.37,4.72,4.94,,
August,,,,,,4.63,2.90,3.57,2.98,3.22,,
September,,,,,,2.48,1.59,0.93,3.17,2.22,,
October,,,,,,3.12,5.29,3.14,1.41,5.21,,
November,,,,,,3.09,2.57,2.24,2.83,1.07,,
December,,,,,,0.51,4.03,2.65,2.49,6.75,,
Total,,,,,,,34.60,32.21,31.39,35.90,,
Calc annual,0.00,0.00,0.00,0.00,0.00,18.65,34.60,32.21,31.39,35.90,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,-0.00,,
